text,intent,domain
Filter batches having output equal to 191,filter_condition,Manufacturing
Get maximum uptime from devices,aggregate_minmax,Technology
Show all logs with response time below 490,filter_condition,Technology
Display crops whose area exceeds 874,filter_condition,Agriculture
Display patients whose age exceeds 585,filter_condition,Medical
Show all logs with errors below 95,filter_condition,Technology
Display transactions whose amount exceeds 40,filter_condition,Finance
Display logs whose response time exceeds 533,filter_condition,Technology
List machines where output is greater than 270,filter_condition,Manufacturing
Display students whose grade exceeds 478,filter_condition,Education
List patients where heart rate is greater than 588,filter_condition,Medical
List devices where errors is greater than 125,filter_condition,Technology
Find total discount for all orders,aggregate_sum,Retail
Get minimum area from crops,aggregate_minmax,Agriculture
Show all teams with assists below 121,filter_condition,Sports
Show all tickets with uptime below 186,filter_condition,Technology
Order devices from largest to smallest errors,sort_descending,Technology
Filter records having blood pressure equal to 852,filter_condition,Medical
Filter players having score equal to 513,filter_condition,Sports
List students where grade is greater than 66,filter_condition,Education
Filter students having attendance equal to 580,filter_condition,Education
Compute mean of rainfall for all harvests,aggregate_average,Agriculture
Find lowest balance among investments,aggregate_minmax,Finance
Display grades whose attendance exceeds 14,filter_condition,Education
Order harvests from smallest to largest area,sort_ascending,Agriculture
List students where grade is greater than 260,filter_condition,Education
Filter subjects having marks equal to 177,filter_condition,Education
Display games whose assists exceeds 659,filter_condition,Sports
List tickets where uptime is greater than 191,filter_condition,Technology
List records where age is greater than 520,filter_condition,Medical
Filter batches having output equal to 139,filter_condition,Manufacturing
List machines where cost is greater than 891,filter_condition,Manufacturing
Find highest cost among machines,aggregate_minmax,Manufacturing
Filter orders having quantity equal to 42,filter_condition,Retail
Show all devices with uptime below 340,filter_condition,Technology
Display logs whose response time exceeds 714,filter_condition,Technology
Display transactions whose profit exceeds 96,filter_condition,Finance
Show all grades with grade below 997,filter_condition,Education
Arrange orders by price (high to low),sort_descending,Retail
Order accounts from largest to smallest balance,sort_descending,Finance
Filter crops having yield equal to 714,filter_condition,Agriculture
Show all products with discount below 999,filter_condition,Retail
List games where goals is greater than 503,filter_condition,Sports
List devices where response time is greater than 120,filter_condition,Technology
Get minimum errors from tickets,aggregate_minmax,Technology
Get maximum score from games,aggregate_minmax,Sports
List accounts where balance is greater than 546,filter_condition,Finance
Display machines whose cost exceeds 969,filter_condition,Manufacturing
Filter accounts having balance equal to 692,filter_condition,Finance
Calculate sum of yield from crops,aggregate_sum,Agriculture
Plot goals trend over time,visualize_line_chart,Sports
Find highest errors among tickets,aggregate_minmax,Technology
Display top rows from students,show_head,Education
List products where price is greater than 885,filter_condition,Retail
Show all tickets with uptime below 27,filter_condition,Technology
Filter players having assists equal to 193,filter_condition,Sports
Filter subjects having attendance equal to 458,filter_condition,Education
Filter logs having response time equal to 975,filter_condition,Technology
Create bar chart for output,visualize_bar_chart,Manufacturing
Show all tests with heart rate below 484,filter_condition,Medical
Find total rainfall for all harvests,aggregate_sum,Agriculture
List logs where uptime is greater than 682,filter_condition,Technology
Display students whose grade exceeds 77,filter_condition,Education
List games where goals is greater than 831,filter_condition,Sports
Find average age among patients,aggregate_average,Medical
Filter students having marks equal to 649,filter_condition,Education
Filter teams having score equal to 985,filter_condition,Sports
Show all tickets with uptime below 747,filter_condition,Technology
Show all subjects with attendance below 621,filter_condition,Education
Show all tickets with errors below 389,filter_condition,Technology
Display entire dataset,show_all,Agriculture
List patients where blood pressure is greater than 78,filter_condition,Medical
Filter orders having quantity equal to 223,filter_condition,Retail
Filter records having heart rate equal to 75,filter_condition,Medical
Filter sales having discount equal to 655,filter_condition,Retail
Compute mean of balance for all transactions,aggregate_average,Finance
Show all subjects with attendance below 996,filter_condition,Education
Display tests whose blood pressure exceeds 238,filter_condition,Medical
Show all crops with yield below 488,filter_condition,Agriculture
Show all subjects with grade below 590,filter_condition,Education
Filter logs having response time equal to 81,filter_condition,Technology
List games where assists is greater than 999,filter_condition,Sports
Filter products having discount equal to 112,filter_condition,Retail
Filter logs having errors equal to 777,filter_condition,Technology
Find lowest profit among investments,aggregate_minmax,Finance
List records where blood pressure is greater than 488,filter_condition,Medical
Filter games having score equal to 321,filter_condition,Sports
Order subjects from largest to smallest grade,sort_descending,Education
Get minimum score from teams,aggregate_minmax,Sports
List products where quantity is greater than 890,filter_condition,Retail
Show all machines with runtime below 797,filter_condition,Manufacturing
List orders where discount is greater than 439,filter_condition,Retail
Display players whose goals exceeds 767,filter_condition,Sports
Show all teams with assists below 737,filter_condition,Sports
