mic,temperature,humidity,status
350,36,72,1
329,27,34,1
547,32,13,0
293,31,60,1
344,27,95,1
243,30,40,0
532,42,54,0
367,37,36,1
492,13,68,0
410,26,33,1
312,21,91,1
418,27,52,1
816,38,20,0
495,14,83,0
512,37,79,1
758,15,65,0
373,30,30,1
375,30,71,1
707,26,87,0
475,40,84,1
446,41,93,0
189,22,15,0
404,26,77,1
349,33,64,1
297,23,99,1
895,20,46,0
833,32,79,0
493,39,40,1
228,20,95,0
297,39,75,1
392,30,71,1
487,39,60,1
365,38,54,1
844,45,54,0
793,39,15,0
497,29,33,1
465,35,94,1
155,24,20,0
310,33,74,1
737,23,41,0
683,26,86,0
342,38,79,1
270,13,35,0
454,26,87,1
289,28,96,1
474,27,54,1
553,32,26,0
529,35,74,0
301,30,18,0
431,29,43,1
425,29,65,1
333,35,50,1
229,20,77,0
328,27,86,1
237,45,51,0
507,50,52,0
360,38,42,1
358,22,72,1
632,37,51,0
652,40,40,0
361,13,80,0
246,25,72,0
453,38,77,1
794,10,64,0
416,37,79,1
841,34,42,0
133,44,63,0
651,18,90,0
669,36,18,0
422,23,63,1
452,40,27,0
438,22,97,1
160,19,47,0
187,14,100,0
657,34,28,0
365,30,57,1
436,40,93,1
327,23,65,1
328,41,68,0
445,30,67,1
156,25,53,0
372,28,95,1
308,32,68,1
660,22,57,0
430,25,40,1
489,23,58,1
402,39,51,1
799,38,18,0
494,30,93,1
631,11,83,0
285,32,100,1
322,38,59,1
616,10,90,0
462,33,43,1
317,37,97,1
116,32,78,0
747,22,80,0
362,37,100,1
546,14,71,0
520,25,96,1
288,43,49,0
425,39,81,1
377,38,53,1
496,23,65,1
519,27,39,1
283,37,72,1
516,32,46,1
378,28,90,1
687,36,64,0
368,31,42,1
505,20,84,1
285,32,24,0
490,38,75,1
803,50,32,0
313,22,50,1
433,27,32,1
499,29,83,1
297,12,82,0
456,40,14,0
425,38,79,1
333,38,98,1
873,46,53,0
726,12,79,0
663,29,12,0
327,49,66,0
362,23,25,0
488,28,18,0
321,31,78,1
294,40,73,1
250,44,93,0
557,23,71,0
340,21,63,1
175,36,37,0
115,12,71,0
426,29,54,1
649,38,58,0
188,16,92,0
283,21,63,1
333,33,35,1
804,44,62,0
344,35,28,0
108,31,72,0
806,23,28,0
489,27,79,1
560,32,29,0
752,32,60,0
389,35,95,1
465,36,68,1
177,42,50,0
152,40,86,0
160,27,78,0
584,45,72,0
880,47,57,0
563,15,34,0
535,26,60,0
379,28,80,1
464,20,16,0
639,21,59,0
386,22,40,1
374,37,63,1
683,23,88,0
376,22,58,1
304,37,30,1
430,24,27,0
429,20,71,1
597,22,39,0
476,33,23,0
397,22,42,1
316,22,42,1
375,14,80,0
436,35,61,1
635,23,45,0
423,20,15,0
414,35,47,1
378,30,52,1
744,17,33,0
487,28,71,1
432,38,85,1
622,35,39,0
316,31,83,1
409,36,30,1
748,14,87,0
311,40,40,1
510,24,46,1
504,35,47,1
286,21,47,1
724,39,34,0
491,31,36,1
482,47,83,0
739,48,61,0
238,26,36,0
349,24,46,1
517,22,92,1
301,22,34,1
485,23,31,1
377,15,36,0
835,50,65,0
440,25,85,1
511,25,41,1
371,39,92,1
303,34,52,1
593,32,58,0
378,22,39,1
328,39,94,1
507,30,80,1
466,32,87,1
368,22,96,1
135,24,72,0
377,27,12,0
585,16,78,0
214,26,19,0
326,30,62,1
476,36,61,1
757,28,15,0
305,29,45,1
252,39,59,0
392,39,34,1
386,20,18,0
445,25,50,1
315,33,79,1
822,36,74,0
862,45,98,0
515,24,98,1
293,24,76,1
368,26,75,1
421,40,57,1
297,30,33,1
588,20,75,0
214,38,14,0
373,32,96,1
571,50,32,0
519,31,31,1
540,22,44,0
404,22,81,1
657,17,45,0
822,22,20,0
171,24,97,0
473,23,61,1
781,23,78,0
320,21,34,1
442,28,57,1
201,30,80,0
324,21,65,1
298,24,55,1
750,26,82,0
395,34,91,1
461,14,65,0
357,38,92,1
730,18,61,0
750,38,73,0
597,28,58,0
116,33,23,0
447,25,29,0
343,22,91,1
379,21,80,1
730,18,89,0
335,38,14,0
230,29,23,0
310,21,78,1
184,38,80,0
580,33,31,0
346,28,78,1
800,27,57,0
691,22,29,0
445,17,66,0
519,34,40,1
690,27,41,0
702,49,82,0
430,38,31,1
670,25,41,0
464,22,67,1
320,30,61,1
564,23,67,0
713,39,35,0
346,26,44,1
445,30,49,1
524,34,81,0
760,33,22,0
346,42,75,0
467,34,66,1
190,38,70,0
692,39,13,0
133,46,87,0
356,39,92,1
457,30,22,0
329,18,59,0
425,28,100,1
324,31,92,1
264,28,37,0
328,23,34,1
257,34,96,0
660,49,66,0
563,47,65,0
357,35,86,1
439,32,39,1
518,36,86,1
817,34,11,0
460,21,63,1
239,47,37,0
477,39,57,1
858,28,97,0
147,21,22,0
498,26,75,1
664,39,30,0
623,22,46,0
475,37,43,1
357,25,37,1
603,31,10,0
337,20,64,1
169,31,35,0
486,18,64,0
444,37,65,1
713,48,58,0
422,22,93,1
304,39,35,1
380,50,80,0
394,29,90,1
632,26,76,0
279,45,74,0
571,46,59,0
234,48,37,0
618,39,88,0
403,32,76,1
277,19,44,0
405,35,25,0
325,36,80,1
504,32,78,1
372,29,95,1
452,25,75,1
434,33,59,1
397,18,52,0
473,34,97,1
523,37,10,0
758,32,28,0
447,26,81,1
851,32,52,0
460,33,98,1
461,31,65,1
240,27,29,0
319,25,21,0
426,15,63,0
445,26,81,1
476,20,76,1
389,34,73,1
322,37,98,1
359,35,69,1
134,20,32,0
192,34,80,0
529,30,14,0
366,38,95,1
600,35,23,0
340,25,61,1
320,39,49,1
247,25,92,0
387,21,85,1
414,21,71,1
365,23,41,1
361,24,56,1
772,11,76,0
383,28,62,1
740,42,98,0
439,38,28,0
635,45,77,0
512,33,94,1
520,27,20,0
507,17,67,0
768,37,41,0
301,39,92,1
418,24,72,1
306,35,30,1
490,27,65,1
411,38,12,0
484,39,73,1
386,25,32,1
543,38,48,0
709,37,10,0
197,26,81,0
389,34,89,1
835,28,94,0
820,23,56,0
480,38,63,1
373,40,82,1
379,26,82,1
315,39,67,1
514,36,95,1
837,21,61,0
482,24,37,1
409,31,61,1
773,33,17,0
177,33,45,0
373,29,83,1
269,46,65,0
292,27,92,1
440,29,61,1
670,26,27,0
814,28,32,0
409,29,53,1
484,40,44,1
344,37,64,1
568,26,34,0
481,23,41,1
345,45,57,0
426,31,91,1
455,21,75,1
336,39,58,1
397,22,74,1
354,31,53,1
377,42,31,0
420,34,33,1
500,21,62,1
510,34,83,1
146,42,68,0
503,36,100,1
468,22,98,1
316,22,55,1
329,40,44,1
553,35,11,0
893,28,88,0
441,24,73,1
457,36,47,1
508,23,74,1
785,36,11,0
411,37,75,1
285,36,97,1
703,21,67,0
371,35,51,1
207,29,15,0
437,20,97,1
385,46,84,0
701,44,68,0
876,38,87,0
711,23,24,0
285,20,97,1
775,48,69,0
269,48,38,0
275,47,60,0
451,26,35,1
502,40,92,1
872,40,50,0
335,33,85,1
369,34,73,1
498,49,95,0
350,22,69,1
583,26,59,0
576,31,79,0
443,22,38,1
329,27,51,1
325,32,46,1
679,33,12,0
144,33,90,0
472,31,50,1
469,16,43,0
189,28,99,0
339,24,66,1
362,23,21,0
396,38,96,1
121,11,59,0
798,33,93,0
325,29,73,1
634,10,96,0
415,35,45,1
473,36,36,1
262,14,47,0
581,36,87,0
350,35,68,1
340,30,55,1
381,32,36,1
328,25,79,1
405,37,48,1
433,39,75,1
834,23,16,0
581,31,62,0
461,24,14,0
643,16,32,0
361,28,50,1
607,31,74,0
210,31,89,0
300,40,89,1
687,38,81,0
799,25,72,0
426,33,43,1
431,25,38,1
804,19,42,0
467,40,71,1
491,40,47,1
401,35,38,1
478,29,70,1
469,25,70,1
401,30,44,1
297,23,70,1
354,48,43,0
378,29,47,1
210,32,20,0
365,31,59,1
609,14,74,0
366,30,82,1
522,37,27,0
322,20,60,1
668,31,92,0
114,31,29,0
890,15,97,0
870,39,13,0
491,20,41,1
336,40,48,1
520,39,86,1
180,43,54,0
185,24,22,0
307,25,52,1
518,10,90,0
195,33,97,0
330,36,64,1
444,27,36,1
848,19,35,0
445,33,15,0
493,16,30,0
347,24,92,1
604,50,35,0
110,27,49,0
186,35,62,0
506,28,69,1
314,27,43,1
187,19,88,0
380,33,79,1
409,25,63,1
412,33,90,1
597,31,26,0
499,21,38,1
890,20,55,0
287,20,100,1
317,30,48,1
892,32,100,0
400,31,78,1
525,33,40,0
349,35,99,1
420,29,41,1
401,38,84,1
118,22,19,0
499,11,71,0
638,14,36,0
826,38,11,0
833,31,10,0
407,23,84,1
413,25,71,1
484,29,93,1
463,36,79,1
621,19,83,0
362,40,30,1
401,36,75,1
238,16,71,0
106,34,19,0
515,24,35,1
805,21,95,0
265,24,71,0
205,19,76,0
334,38,18,0
503,29,40,1
364,32,73,1
355,30,67,1
458,22,31,1
212,31,16,0
439,37,38,1
753,47,55,0
372,27,89,1
338,34,88,1
251,21,96,0
276,24,59,0
900,23,20,0
333,36,37,1
485,22,54,1
139,28,18,0
588,36,76,0
384,32,57,1
326,34,55,1
419,40,56,1
473,33,31,1
511,14,96,0
822,22,26,0
510,25,35,1
321,21,69,1
775,22,26,0
629,10,30,0
558,21,71,0
226,17,95,0
410,22,57,1
675,28,94,0
213,17,31,0
629,20,92,0
435,36,55,1
399,24,69,1
320,27,38,1
289,27,86,1
698,39,43,0
194,32,22,0
387,22,44,1
520,30,45,1
386,28,34,1
255,31,11,0
399,26,83,1
287,34,79,1
200,14,72,0
488,12,56,0
332,38,85,1
422,28,98,1
485,37,91,1
522,20,80,0
490,34,37,1
548,11,59,0
637,20,92,0
489,25,85,1
763,21,16,0
392,40,98,1
231,24,15,0
