Temperature(°C),Humidity(%),Average_Weight(g),Accel_X(m/s²),Accel_Y(m/s²),Accel_Z(m/s²),Average_RPM
31.24,64.95,296.0,2.76,-4.02,6.94,1483.11
48.52,63.32,186.9,-0.81,-8.1,-0.11,1762.2
41.96,57.05,219.33,9.29,-7.47,-6.09,926.36
37.96,74.29,282.66,-5.62,-6.39,4.73,578.36
24.68,69.06,246.42,1.76,-5.93,-1.63,637.69
24.68,84.63,297.71,4.0,-5.15,1.89,1393.9
21.74,51.28,342.24,6.51,-4.89,-7.85,1135.12
45.99,75.75,173.31,-1.86,-0.89,2.63,972.99
38.03,80.52,291.91,3.74,0.19,-2.53,405.55
41.24,80.38,196.07,-3.94,-3.82,-3.32,1750.91
20.62,85.44,232.9,-1.29,8.15,9.6,1562.04
49.1,79.16,156.57,7.91,1.06,-1.35,281.28
44.97,87.11,177.18,9.0,5.75,3.56,734.78
26.37,63.31,213.96,4.38,8.48,2.55,1084.26
25.45,70.13,218.4,-2.51,-6.74,-7.91,908.68
25.5,50.56,329.92,6.4,-1.44,4.96,795.59
29.13,50.28,298.36,-9.48,-1.34,-3.54,1437.66
35.74,59.61,344.44,-7.95,-2.91,5.98,109.01
32.96,54.03,269.81,3.23,-9.82,2.15,942.82
28.74,60.41,198.34,-4.18,6.32,-3.66,524.36
38.36,57.08,215.53,9.03,-7.77,-2.87,169.24
24.18,51.14,213.97,-1.28,9.91,4.63,929.77
28.76,86.37,215.3,-1.41,5.46,1.0,342.74
30.99,50.33,284.59,3.56,1.6,3.37,516.45
33.68,79.44,256.16,5.35,-6.91,-6.83,1014.02
43.56,56.09,227.08,-0.49,0.31,5.74,1947.42
25.99,86.49,179.82,-5.72,-4.78,-3.59,1368.51
35.43,85.71,154.43,5.47,-4.95,2.4,559.24
37.77,76.16,193.77,-3.59,6.59,-7.71,764.81
21.39,76.89,171.49,-6.5,-2.39,-3.57,812.27
38.23,50.21,307.09,2.63,-0.99,2.98,307.28
25.12,89.39,172.5,-8.19,6.86,-4.52,321.31
21.95,85.11,294.85,9.43,-8.24,7.61,296.79
48.47,85.8,227.13,2.65,1.89,3.22,1043.33
48.97,76.37,164.68,9.72,1.56,7.41,1348.37
44.25,63.79,312.55,-3.22,-1.5,-2.09,1181.44
29.14,85.75,265.93,9.42,6.6,-9.32,1955.53
22.93,61.66,197.15,-7.09,8.86,1.52,251.75
40.53,72.51,328.94,-9.19,-0.69,-3.22,1972.95
33.2,53.99,159.05,-9.34,-0.88,-1.04,933.35
23.66,86.88,190.36,-0.7,0.04,3.62,437.27
34.86,55.63,300.41,-8.34,4.46,4.01,1886.56
21.03,59.0,291.88,0.24,3.36,-9.45,937.23
47.28,72.33,207.85,-3.45,-5.54,5.39,694.69
27.76,80.56,162.4,-3.29,-8.72,-0.13,427.62
39.88,74.77,321.62,2.71,8.99,1.13,535.75
29.35,59.29,212.74,-6.74,-4.78,-4.04,1958.44
35.6,50.04,189.14,5.33,2.77,-1.58,607.95
36.4,80.29,253.21,1.64,6.57,4.21,1955.61
25.55,89.41,332.05,8.3,-3.99,5.53,660.43
49.09,82.4,158.71,-2.7,2.71,-2.26,462.84
43.25,68.41,303.16,9.65,-7.84,3.82,366.73
48.18,86.15,264.49,1.52,9.4,-4.84,823.71
46.84,66.39,235.09,9.47,-8.84,6.64,473.61
37.94,71.0,298.82,-9.46,-1.24,2.2,1393.88
47.66,69.09,343.16,4.56,0.74,5.5,479.54
22.65,67.9,195.84,6.33,5.81,-0.46,1670.79
25.88,81.01,178.73,-8.94,-7.58,-5.42,1668.02
21.36,71.07,332.58,1.58,-1.18,-1.42,571.05
29.76,62.67,283.79,6.04,-4.01,-2.37,1507.08
31.66,60.33,237.6,1.22,-3.76,-3.35,1715.09
28.14,51.51,264.65,-8.72,5.58,-5.76,1180.27
44.86,73.33,299.12,3.87,-9.89,5.18,732.66
30.7,59.2,304.61,-8.79,4.98,-8.27,881.93
28.43,55.93,333.98,6.35,6.21,7.75,1572.46
36.28,76.15,235.37,-9.14,8.03,-6.5,586.63
24.23,77.25,208.68,-7.25,2.54,9.6,668.92
44.07,80.09,277.93,-4.5,-3.33,9.77,321.57
22.24,70.14,233.15,2.67,-1.46,-2.03,798.1
49.61,85.76,268.92,9.53,9.39,9.76,173.03
43.17,87.45,234.0,-7.64,7.62,7.38,642.07
25.96,82.29,180.6,-7.15,-0.73,-8.35,746.96
20.17,75.42,243.89,-2.62,8.86,8.95,510.96
44.46,62.15,288.18,6.72,6.46,-9.15,202.72
41.21,89.32,309.86,-0.66,8.02,-6.36,1043.33
41.87,60.97,248.67,-3.57,3.66,1.69,1730.16
43.14,58.11,183.05,1.22,7.15,-8.39,671.29
22.22,67.69,232.94,-4.79,7.84,-6.77,473.6
30.75,52.27,307.26,-1.98,-8.16,9.07,570.08
23.48,89.14,232.57,-3.35,9.3,9.89,1723.77
45.89,73.54,289.31,6.08,-3.33,5.96,1055.62
38.7,72.28,251.44,8.49,-1.2,0.3,261.58
29.93,76.23,198.24,5.19,5.84,8.01,1418.44
21.91,69.88,309.23,-1.22,3.3,-7.76,308.74
29.33,51.28,166.84,0.09,7.86,8.86,120.49
29.76,74.49,254.98,-7.5,-1.99,-2.97,511.37
41.89,78.65,191.78,4.94,-2.53,7.23,336.18
39.13,66.67,163.41,1.93,-9.37,3.37,1209.99
46.62,80.29,250.59,8.05,-0.75,9.21,969.13
34.17,59.08,249.91,-5.99,4.48,7.29,1448.13
23.59,58.85,291.38,5.19,-3.98,7.76,1023.14
41.4,56.46,298.95,3.69,-0.75,2.64,838.01
42.82,64.88,295.56,-4.68,-5.61,6.66,1052.44
36.84,83.88,231.91,3.35,5.46,5.14,868.97
43.13,83.12,276.34,8.49,-8.79,-6.77,74.17
34.81,65.31,265.39,8.37,4.11,2.97,1361.4
35.68,73.56,234.31,4.39,-2.42,-7.04,1924.26
32.83,78.83,269.44,-9.04,-9.17,7.39,844.07
20.76,59.65,339.45,7.45,7.07,-8.68,847.47
23.24,56.73,188.58,3.16,-0.25,9.74,91.54
20.94,88.88,331.15,-3.79,1.99,-1.99,1780.76
39.09,74.7,160.69,-6.25,4.64,-6.59,1858.24
29.43,89.26,211.68,-7.68,3.1,8.71,1626.28
35.26,63.51,207.63,-9.0,4.62,-9.09,212.69
47.23,78.12,275.27,5.08,5.25,-0.6,1800.45
27.48,58.9,176.24,-5.28,1.78,5.4,47.91
32.31,60.45,326.47,-9.51,-2.69,-3.66,889.15
42.67,70.48,315.71,-2.05,-5.14,0.58,1001.25
26.86,62.78,280.41,-0.35,8.06,4.01,1668.0
22.31,56.7,241.68,-6.62,9.4,9.04,1501.72
28.69,60.52,336.59,-9.12,-2.85,-7.95,1594.19
24.84,51.43,316.15,-6.22,-7.75,-6.86,1735.8
47.89,78.18,249.86,3.58,-5.55,0.18,952.14
44.24,69.68,290.37,-8.36,3.41,-1.63,1560.5
39.0,53.77,263.39,1.1,-6.54,-1.78,136.07
46.14,56.87,267.59,-7.07,5.6,-4.06,889.09
44.11,54.1,216.2,-6.09,8.46,1.21,60.27
25.6,74.5,75.22,-2.14,9.27,7.67,1830.63
46.78,53.77,165.62,-7.98,-9.81,-6.78,1916.83
36.18,80.17,221.47,-6.54,9.16,-5.69,167.88
44.22,50.82,289.17,-3.02,4.8,3.42,1065.25
46.88,59.98,340.64,-3.41,-8.32,-8.88,650.28
29.54,85.63,342.61,4.99,-1.7,3.48,685.07
23.3,78.74,261.14,-8.5,4.0,-3.71,901.4
26.84,52.92,271.32,7.21,9.13,-2.84,250.13
32.81,82.85,187.14,6.32,-6.72,-1.89,361.54
44.54,69.72,289.06,5.32,-7.45,-3.01,1154.74
45.82,83.87,164.13,-3.81,-0.55,6.82,37.51
20.21,74.03,75.22,6.46,9.36,8.92,1199.6
35.32,77.27,283.67,-6.34,9.43,0.96,637.83
32.52,89.74,212.06,-7.51,-5.44,1.64,1664.41
26.66,59.29,159.97,-9.1,-3.61,-8.59,1200.01
23.6,74.96,316.37,8.79,8.16,4.26,1416.18
30.13,68.41,212.07,-3.84,4.7,1.68,228.85
48.29,51.58,162.62,8.35,9.45,-8.99,531.72
29.7,50.58,164.96,-4.55,7.86,-6.03,1993.34
35.56,54.77,200.35,8.15,-5.7,-5.96,867.3
41.09,75.96,185.6,8.08,5.19,-6.58,717.73
